 AOU_Code,step,run,result,select,all_sca,
BCCH,3,yes,BCCH_step2_output_2025_11_24_newrun1,BCCH_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BHVI,3,yes,BHVI_step2_output_2025_11_24_newrun1,BHVI_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BLBW,3,yes,BLBW_step2_output_2025_11_24_newrun1_updated,BLBW_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BRCR,3,yes,BRCR_step2_output_2025_11_24_newrun1_updated,BRCR_step1_output_2025_11_15run1_25_75_SCA_SEL_PARS,new models,
BTBW,3,yes,BTBW_step2_output_2025_11_25_newrun1,BTBW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
BTNW,3,yes,BTNW_step2_output_2025_11_25_newrun1_updated,BTNW_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
DOWO,3,yes,DOWO_step2_output_2025_11_25_newrun1,DOWO_step1_output_2025_11_16run1_25_75_SCA_SEL_PARS,new models,
HAWO,3,yes,hawo_checkpoint_convergedish,HAWO_step1_output_2025_11_17run1_25_75_SCA_SEL_PARS,new models,
HETH,3,yes,HETH_step2_output_2025_11_25_newrun1,HETH_step1_output_2025_11_17run1_25_75_SCA_SEL_PARS,new models,
OVEN,3,yes,OVEN_step2_output_2025_11_25_newrun1,OVEN_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
REVI,3,yes,REVI_step2_output_2025_11_27_newrun1,REVI_step1_output_2025_11_18run1_25_75_SCA_SEL_PARS,new models,
SCTA,3,yes,SCTA_step2_output_2025_11_27_newrun1,SCTA_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
VEER,3,yes,VEER_step2_output_2025_11_26_newrun1,VEER_step1_output_2025_11_19run1_25_75_SCA_SEL_PARS,new models,
WBNU,3,yes,WBNU_step2_output_2025_11_26_newrun1,WBNU_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
WOTH,3,yes,WOTH_step2_output_2025_11_26_newrun1,WOTH_step1_output_2025_11_20run1_25_75_SCA_SEL_PARS,new models,
YBSA,3,yes,YBSA_step2_output_2025_11_26_newrun1,YBSA_step1_output_2025_11_21run1_25_75_SCA_SEL_PARS,new models,
BAWW,4,yes,BAWW_step2_output_2025_11_13run1_allsca1,BAWW_step1_output_2025_11_14run1_3_7_SCA_SEL_PARS,new models,
BHVI,4,yes,BHVI_step2_output_2025_11_14run1_allsca1,BHVI_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BLBW,4,yes,BLBW_step2_output_2025_11_14run1_allsca1,BLBW_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BRCR,4,yes,BRCR_step2_output_2025_11_14run1_allsca3,BRCR_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models,
BTBW,4,yes,BTBW_step2_output_2025_11_14run1_allsca2,BTBW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
BTNW,4,yes,BTNW_step2_output_2025_11_14run1_allsca1,BTNW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
DOWO,4,yes,DOWO_step2_output_2025_11_14run1_allsca1,DOWO_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models,
HAWO,4,yes,HAWO_step2_output_2025_11_14run1_allsca1,HAWO_step1_output_2025_11_17run1_3_7_SCA_SEL_PARS,new models,
HETH,4,yes,HETH_step2_output_2025_11_14run1_allsca1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,new models,
OVEN,4,yes,OVEN_step2_output_2025_11_14run1_allsca3,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,new models,
REVI,4,yes,REVI_step2_output_2025_11_14run1_allsca3,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,new models,
SCTA,4,yes,SCTA_step2_output_2025_11_14run1_allsca2,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,new models,
VEER,4,yes,VEER_step2_output_2025_11_14run1_allsca3,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,new models,
WBNU,4,yes,WBNU_step2_output_2025_11_14run1_allsca2,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,new models,
WOTH,4,yes,WOTH_step2_output_2025_11_14run1_allsca3,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,new models,
